"Auto Increment","Record ID","Created On","ID Cliente","Nome Empresa","Email Cliente 01","Email Cliente 02","EndereÃ§o Loja (Cliente)","Cliente desde","Data de cadastro no sistema (Cliente)","Dados Empresa","ObservaÃ§Ã£o Cliente","Website Cliente","Tota de ServiÃ§os (Cliente)","ServiÃ§os Pendente de Agendamento (Cliente)","ServiÃ§os Agendados (Cliente)","ServiÃ§os Realizados no mÃªs corrente (Cliente)","ServiÃ§os Aguardando Retorno (Cliente)","ServiÃ§os Cancelados (Cliente)",CNPJ/CPF,Rede,"ServiÃ§os Realizados no mÃªs anterior (Cliente)","Fone Fixo 01 - CLIENTE","Celular 01 - CLIENTE","Fone Fixo 02 - CLIENTE","Celular 02 - CLIENTE",Corretor,"PreferÃªncia da imobiliÃ¡ria para o agendamento","Preferencias da ImobiliÃ¡ria a respeito do serviÃ§o do fotografo","SessÃ£o FotogrÃ¡fica",Ref
188,ka6jMPMQ75,"2021-05-26 09:20:58",395,"Souza Negócios Imobiliários",,,,,2021-05-26,,,,1,0,0,1,0,1,,Outros,1,,,,,,,,,
187,P74QYvLjBE,"2021-05-06 12:35:47",394,"Estado Maior",,,,,2021-05-06,,,,3,0,0,0,0,0,,Outros,0,,,,,,,,,
186,4AXQvKxjLY,"2021-04-29 16:29:51",393,AJR,,,,,2021-04-29,,,,44,0,0,0,0,5,,Outros,0,,,,,,,"Andre Jao",,
185,53GN6KVQzx,"2021-04-28 13:29:10",392,"Casa ao Lado",,,,,2021-04-28,"MURALHA / JOSUÉ / FUTURA",,,346,10,57,0,2,58,,Bee,0,,,,,,,,,
184,M03rz2Ar69,"2021-04-19 17:58:26",391,Treèle,,,,,2021-04-19,,,,1,0,0,0,0,0,,Outros,1,,,,,,,,,
182,0DzjGeRNYp,"2021-03-12 10:47:52",389,"Antonio Prieto",,,,,2021-03-08,,,,5,0,0,0,0,0,,Outros,0,,,,,,,,,
181,kOGQ37GQln,"2021-03-03 09:56:47",388,"Andrea Olsen",,,,,2021-03-03,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
180,JawrRqqj5k,"2022-01-14 13:20:24",387,Rebouças,,,"695 Rua Nunes Machado, , 80220-070",,2021-03-01,,,,71,1,1,3,0,6,,Apolar,11,4132226745,,,,,,,,
179,kVXr7gbrJe,"2021-02-23 08:47:07",386,"Reveste Interiores",,,,,2021-02-23,,,,1,0,0,0,0,2,,Outros,0,,,,,,,,,
177,W4yQkw3QgP,"2021-02-08 17:18:30",384,CTBA,,,,,2021-02-08,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
176,B8qQPEnj16,"2021-01-27 13:13:34",383,"Viviane Trzeiak",,,,,2021-01-27,,,,2,0,0,2,0,0,,Outros,2,,,,,,,,,
175,mloNLRnjM8,"2021-01-08 12:28:54",382,Fanny,,,,,2021-01-08,,,,1,0,0,1,0,2,,Apolar,1,,,,,,,,,
174,oGWN5G9jlA,"2021-01-08 12:09:09",381,"B Alto",,,,,2021-01-08,,,,3,2,1,2,0,5,,Apolar,2,,,,,,,,,
172,l5nQx74NxY,"2022-01-14 13:03:49",379,Alphaville,luiz.rodrigues@apolaralphaville.com.br,iury.lopes@apolarpersonnalite.com.br,"20 Rua Iapó, , 83327-075",,2021-01-06,"D J I - Assessoria Imobiliária Ltda",,,46,2,2,1,0,0,,Apolar,5,4199104289,,,,,,,,
171,m72Npy5Qwv,"2021-04-14 17:23:27",378,Aris,,,,,2020-12-17,,,,15,0,0,0,0,3,,Outros,0,,,,,,,,,
169,7oOjDmErB9,"2020-12-16 14:05:56",376,Bys,,,,,2020-12-16,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
168,ObEjEm3jK5,"2020-12-02 12:46:02",375,"Solange Carvalho",,,,,2020-12-02,,,,4,0,1,0,0,3,,Outros,0,,,,,,,,,
167,4YZjnmoQPv,"2020-12-02 12:09:57",374,"Samuel Martins",,,,,2020-12-02,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
165,pPErya1rOn,"2020-11-28 10:25:30",372,Uberaba,,,,,2020-11-28,,,,3,2,1,3,0,1,,Apolar,3,,,,,,,,,
163,X9EjVPkNo2,"2020-11-26 16:53:31",370,Davila,,,,,2020-11-26,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
162,3GDN1MqNeq,"2020-11-25 17:28:15",369,Schneider,,,,,2020-11-25,,,,4,0,0,0,0,1,,Outros,1,,,,,,,,,
161,6b1rAldjKk,"2020-11-23 15:24:29",368,"Sabrina Iglesias",,,,,2020-11-23,,,,74,4,0,4,0,9,,Outros,13,,,,,,,,,
160,K68j9G8N2V,"2020-11-19 16:48:40",367,Pusch,,,,,2020-11-19,,,,10,0,0,0,0,1,,Outros,0,,,,,,,,,
159,DVarw5mQOR,"2020-11-12 10:35:33",366,Bys,,,,,2020-11-12,,,,3,0,0,0,0,2,,Outros,0,,,,,,,,,
158,L5MjK9wN0k,"2022-01-14 13:17:34",365,"B Vista",,,"256 Rua Arary Souto, , 82620-010",,2020-11-06,,,,271,5,1,7,0,22,,Apolar,20,4133560045,,,,,,,,
157,VX9Qow0QwY,"2020-11-05 17:40:14",364,Firenze,,,,,2020-11-05,,,,11,1,0,1,0,1,,Outros,1,,,,,,,,,
156,JDXQ89PjYR,"2020-10-29 15:29:00",363,"Roberto Bollbuck",,,,,2020-10-29,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
155,q3kjZ5EQ6V,"2020-10-15 10:04:44",362,"Gregory Wall",,,,,2020-10-15,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
154,698rdlnrZw,"2020-10-14 15:49:18",361,Paysage,,,,,2020-10-14,,,,1,0,0,0,0,2,,Outros,0,,,,,,,,,
153,K2ejl73Qo9,"2020-09-30 16:56:20",360,"Morada Nova",,,,,2020-09-30,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
152,eykNOYBjDY,"2020-09-21 09:29:37",359,"Jefferson Arriva",,,,,2020-09-21,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
151,lGArggkrmR,"2020-09-11 10:58:55",358,Offer,,,,,2020-09-11,,,,15,0,0,0,0,4,,Outros,0,,,,,,,,,
150,o6WQbbdQnB,"2021-01-13 13:26:21",357,Claude,,,,,2020-09-10,,,,7,1,0,0,1,0,,Outros,0,,,,,,"<p><strong>* Marcar somente para Augusto</strong></p>",,,
149,oaANBAwr1b,"2020-09-02 17:30:24",356,Olimpo,,,,,2020-09-02,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
148,4PzQ4nJrJG,"2020-08-31 17:33:08",355,IMB,,,,,2020-08-31,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
147,5m9N0nbjzq,"2020-09-03 16:27:48",354,"Saldanha Imoveis",,,,,2020-08-31,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
146,4MXQJnxQZ6,"2020-08-26 16:46:17",353,Saldanha,,,,,2020-08-26,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
145,DVWQWP3jZ4,"2020-08-05 14:44:41",352,Avellar,,,,,2020-08-05,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
142,4AXQvOxjLY,"2020-06-09 16:18:54",349,"Casa Imóveis",,,,,2020-06-09,,,,4,0,0,0,0,2,,Outros,0,,,,,,,,,
141,53GN6BVNzx,"2020-08-24 12:38:40",348,A3+,,,,,2020-05-05,,,,3,0,0,0,0,1,,Outros,0,4135281571,,,,,,,,
140,M03rzaAj69,"2020-04-30 14:54:46",347,"Green House",,,,,2020-04-30,,,,8,0,0,0,0,0,,Outros,0,,,,,,,,,
139,LX6QaB7jZk,"2020-04-15 09:17:13",346,Somma,,,,,2020-04-15,,,,72,1,1,1,0,6,,Outros,1,,,,,,,,,
138,0DzjG1RNYp,"2020-04-06 16:00:54",345,Sym,,,,,2020-04-06,,,,15,0,0,0,0,4,,Outros,0,,,,,,,,,
136,JawrR1qj5k,"2020-10-28 17:24:24",343,Concept,,,"750 Avenida Água Verde, , 80620-200",,2020-03-13,,,,50,0,0,0,0,0,,Apolar,4,4130685600,,,,,,,,
135,kVXr7bbjJe,"2020-03-06 16:40:41",342,Lucimara,,,,,2020-03-06,,,,90,1,1,0,0,14,,Outros,0,,,,,,,,,
134,W0VNqn0Qml,"2020-03-06 16:36:55",341,SNP,,,,,2020-03-06,,,,17,0,0,0,0,1,,Outros,1,,,,,,,,,
133,W4yQkZ3NgP,"2020-03-06 16:36:42",340,Dicasa,,,,,2020-03-06,,,,7,1,0,2,0,2,,Outros,3,,,,,,,,,
132,B8qQPlnQ16,"2020-02-18 14:21:39",339,Vaticano,,,,,2020-02-18,,,,17,0,0,0,0,10,,Outros,0,,,,,,,,,
131,mloNLqnQM8,"2020-02-13 09:05:38",338,Planeja,,,,,2020-02-13,,,,14,1,1,0,0,2,,Outros,0,,,,,,,,,
130,oGWN5E9NlA,"2020-02-12 11:53:31",337,Particular,,,,,2020-02-12,,,,6,0,0,0,0,0,,Outros,2,,,,,,,,,
129,3xPjXAdrKG,"2020-02-12 08:41:47",336,Carmen,,,,,2020-02-12,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
128,l5nQxe4jxY,"2020-02-12 08:41:39",335,"Paulo Souza",,,,,2020-02-12,,,,0,0,0,0,0,2,,Outros,0,,,,,,,,,
127,m72Npa5Qwv,"2020-02-10 16:41:39",334,"JC Amaral",,,,,2020-02-10,,,,16,0,0,0,0,0,,Outros,0,,,,,,,,,
126,4Z9Q2Dar2m,"2021-01-13 13:26:45",333,GreenVille,,,,,2020-02-08,,,,7,0,0,0,0,0,,Outros,2,,,,,,"<p><strong>* Marcar somente para Augusto</strong></p>",,,
124,ObEjEo3NK5,"2020-02-08 12:47:22",331,Cross,,,,,2020-02-08,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
123,4YZjnMoQPv,"2020-02-08 09:36:20",330,Remax,,,,,2020-02-08,,,,4,0,0,0,0,1,,Outros,0,,,,,,,,,
122,PblNeaMNxw,"2020-02-06 16:58:46",329,Cross,,,,,2020-02-06,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
121,pPEryn1NOn,"2020-02-06 14:32:02",328,Lais,,,,,2020-02-06,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
120,DkMjm2qrvV,"2020-09-02 17:33:54",327,Aquilar,,,,,2020-02-03,,,,24,0,0,0,0,1,,Outros,0,,,,,,,,,
119,X9EjV2kjo2,"2020-02-07 18:48:05",326,"Seven Brokers",,,,,2020-02-03,EGLAYCI,,,24,0,0,0,0,7,,Outros,0,,,,,,,,,
118,3GDN1yqNeq,"2020-01-31 13:39:19",325,"Rose e Hadassa",,,,,2020-01-30,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
117,6b1rALdjKk,"2020-01-31 13:39:34",324,Select,,,,,2020-01-30,,,,22,0,2,0,0,1,,Outros,0,,,,,,,,,
116,K68j9W8N2V,"2020-01-27 11:39:31",323,ABCR,,,,,2020-01-27,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
115,DVarwRmjOR,"2020-01-28 12:59:54",322,Sevilha,,,,,2020-01-27,,,,3,0,0,0,0,0,,Outros,0,,,,,,,,,
114,L5MjKewN0k,"2020-10-28 17:34:11",321,"J Botanico",,,"475 Avenida Prefeito Omar Sabbag, , 80210-000",,2020-01-27,,,,2,0,0,1,0,0,,Apolar,1,4132623141,,,,,,,,
113,VX9QoW0QwY,"2020-01-24 13:49:56",320,Vitrine,,,"280 Rua São Pio X, , 80540-240",,2020-01-24,,,,0,1,8,0,0,3,,Vitrine,0,,,,,,,,,
112,JDXQ8MPjYR,"2020-01-23 15:36:23",319,Compromisso,,,,,2020-01-23,,,,0,0,26,0,0,1,,Outros,0,,,,,,,,,
111,q3kjZDEN6V,"2020-01-24 13:51:09",318,"Danielle Martini",,,,,2020-01-23,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
110,698rdOnjZw,"2020-01-24 13:51:15",317,Facille,,,,,2020-01-23,,,,37,0,0,0,1,4,,Outros,0,,,,,,,,,
109,K2ejlv3No9,"2023-05-02 11:13:12",316,"LOPES Home VS",,,,,2020-01-22,,,,19,1,0,0,0,0,,Lopes,1,,,,,,,,,
108,eykNODBQDY,"2023-05-02 11:13:17",315,"LOPES Inova",,,,,2020-01-21,,,,439,1,7,0,0,73,,Lopes,0,,,,,,,"Mínimo de 35 fotos mesmo para ímóveis pequenos",,
107,lGArg9kQmR,"2020-01-24 13:51:26",314,London,,,,,2020-01-20,,,,7,0,0,0,0,1,,Outros,0,,,,,,,,,
106,o6WQbadNnB,"2020-01-24 13:51:50",313,"Link Lever",,,,,2020-01-17,,,,288,1,3,0,2,43,,Outros,0,,,,,,,,,
104,4PzQ40JQJG,"2020-01-24 13:52:21",311,Marcia,,,,,2020-01-17,,,,3,0,0,0,0,1,,Outros,0,,,,,,,,,
103,5m9N07brzq,"2020-12-18 14:44:32",310,J8,,,,,2020-01-16,,,,176,7,7,3,0,23,,Outros,10,,,,,,"<p><strong>* Preferencialmente para o Augusto</strong></p>",,,
102,4MXQJdxrZ6,"2021-01-13 13:23:47",309,"Bom Casa",,,,,2020-01-15,,,,46,0,0,0,0,16,,Outros,0,,,,,,"<p><strong>* N&atilde;o marcar para Renato</strong></p>",,,
101,DVWQW23NZ4,"2021-01-13 13:17:03",308,Boulevard,,,,,2020-01-15,,,,45,3,0,0,0,3,,Outros,3,,,,,,,"Fazer vários ângulos da fachada de perto e de longe",,
100,ka6jMGMN75,"2020-01-15 20:26:24",307,ABCR,,,,,2020-01-15,,,,4,0,0,0,0,0,,Outros,1,,,,,,,,,
99,q3kjZDVN6V,"2022-01-14 13:14:22",306,Xaxim,,,"30 Rua João Winter, , 81720-222",,2020-01-15,,,,181,11,0,2,0,15,,Apolar,8,4130785266,,,,,,,,
98,698rdO2jZw,"2022-01-14 13:01:57",305,VivaVille,,,"81 Rua Taquarí, , 83327-000",,2020-01-14,,,www.vivavilleimoveis.com.br,4,0,0,0,0,2,7492613000132,Outros,0,4135511000,,,,,,,,
97,K2ejlvONo9,"2020-01-14 15:53:23",304,Esfra,,,,,2020-01-14,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
96,eykNODvQDY,"2020-01-24 10:58:05",303,"A Santos",,,"610 Rua Castro, , 80620-300",,2019-09-13,"Almeida Santos",,www.almeidasantosimoveis.com.br,36,0,0,0,0,9,,Outros,0,,,,,,,,,
95,lGArg97QmR,"2019-08-29 17:17:26",302,Soul,,,"Rua Teixeira Soares, 534",,2019-08-29,,,https://www.soulimoveis.com.br/,48,0,1,0,0,8,,Outros,0,,,,,,,,,
92,4PzQ40GQJG,"2019-05-17 15:41:57",301,Tha,,,"av do batel Avenida do Batel, , 80420-090",,2019-05-17,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
91,5m9N07nrzq,"2019-05-17 20:18:22",300,"Mega House",,,,,,,,,0,0,0,0,0,0,,Nexus,0,,,,,,,,,
90,4MXQJddrZ6,"2019-05-09 19:14:45",299,"Big Tower",,,,,,,,,0,0,0,0,0,0,,Nexus,0,,,,,,,,,
89,DVWQW2RNZ4,"2019-05-09 19:14:38",298,Select,,,,,,,,,0,0,0,0,0,0,,Nexus,0,,,,,,,,,
88,ka6jMGoN75,"2019-05-09 19:14:30",297,RRDi,,,,,,,,,0,0,0,0,0,0,,Nexus,0,,,,,,,,,
87,P74QY8bNBE,"2021-01-27 17:15:54",296,Madero,,,,,,,,,258,3,12,1,2,47,,Nexus,1,,,,,,,"Imobiliária pede para fazer bastante fotos, mesmo em imóveis pequenos.",,
86,4AXQvvaQLY,"2019-05-09 19:14:15",295,Invex,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
85,53GN69vrzx,"2019-05-09 19:14:12",294,FG,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
84,M03rzEbj69,"2019-05-09 19:14:08",293,Elite,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
83,LX6QaLwNZk,"2019-05-09 19:14:04",292,BCG,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
82,0DzjGXarYp,"2019-05-09 19:14:00",291,"Rede Bee",,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
81,kOGQ3ogQln,"2019-05-09 19:13:56",290,Amppliata,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
80,JawrRRJr5k,"2019-05-09 19:13:48",289,Uniterras,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
79,kVXr7nxjJe,"2019-05-09 19:13:43",288,TWA,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
78,W0VNqy8Nml,"2019-05-09 19:13:39",287,Toyo,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
77,W4yQk34QgP,"2019-05-09 19:13:35",286,Tantus,,,,,,,,,234,14,9,5,0,29,,Bee,19,,,,,,,,,
76,B8qQPyZj16,"2019-05-09 19:13:31",285,Roma,,,,,,,,,4,0,1,1,0,0,,Bee,1,,,,,,,,,
75,mloNL2GjM8,"2019-05-09 19:13:27",284,Rocco,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
74,oGWN5eqNlA,"2019-05-09 19:13:22",283,Polatti,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
73,3xPjX7YQKG,"2019-05-09 19:13:18",282,Paraiso,,,,,,,,,0,0,1,0,0,0,,Bee,0,,,,,,,,,
72,l5nQx1LjxY,"2019-05-09 19:13:14",281,OutraSul,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
71,m72NpJojwv,"2019-05-09 19:13:10",280,Otimoveis,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
70,4Z9Q2G9j2m,"2019-05-09 19:13:06",279,Norvalpa,,,,,,,,,5,0,0,0,0,2,,Bee,0,,,,,,,,,
69,7oOjD1drB9,"2019-05-09 19:13:00",278,Muralha,,,,,,,,,50,0,16,0,0,7,,Bee,0,,,,,,,,,
68,ObEjEpOQK5,"2019-05-09 19:12:55",277,Mota,,,,,,,,,24,0,0,0,0,2,,Bee,0,,,,,,,,,
67,4YZjnnDjPv,"2019-05-09 19:12:47",276,"MF França",,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
66,PblNe86rxw,"2019-05-09 19:12:43",275,L7,,,,,,,,,62,0,9,0,0,8,,Bee,0,,,,,,,,,
65,pPErydWjOn,"2019-05-09 19:12:38",274,Josue,,,,,,,,,4,0,0,1,0,1,,Bee,1,,,,,,,,,
64,DkMjmvwrvV,"2019-05-09 19:12:34",273,JLA,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
63,X9EjVzXjo2,"2019-05-09 19:12:13",272,Jamaica,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
62,3GDN1ZmQeq,"2019-05-09 19:12:08",271,Invebras,,,,,,,,,71,0,0,0,0,5,,Bee,0,,,,,,,,,
61,6b1rA8KjKk,"2019-05-09 19:12:03",270,Gomes,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
60,K68j92gr2V,"2019-05-09 19:11:48",269,Futura,,,,,,,,,16,0,0,0,0,0,,Bee,0,,,,,,,,,
59,DVarwKJrOR,"2019-05-09 19:11:43",268,Fadazan,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
58,L5MjKqxN0k,"2019-05-09 19:11:39",267,Diniz,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
57,VX9QoZeNwY,"2019-05-09 19:11:34",266,Construa,,,,,,,,,20,0,0,1,0,0,,Bee,4,,,,,,,,,
56,JDXQ8E0jYR,"2019-05-09 19:11:28",265,Cezar,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
55,q3kjZ2Vj6V,"2019-05-09 19:11:25",264,Casteval,,,,,,,,,11,0,1,0,0,2,,Bee,0,,,,,,,,,
54,698rd32jZw,"2019-05-09 19:11:20",263,"Casa Real",,,,,,,,,16,0,2,0,0,2,,Bee,0,,,,,,,,,
53,K2ejl6ONo9,"2019-05-09 19:11:16",262,Burgman,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
52,eykNOwvNDY,"2019-05-09 19:10:59",261,BMX,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
51,lGArg57QmR,"2019-05-09 19:10:54",260,"Bella Torre",,,,,,,,,34,0,0,0,0,2,,Bee,0,,,,,,,,,
50,o6WQbJ5QnB,"2019-05-09 19:09:55",259,Andrade,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
49,oaANBE1r1b,"2019-05-09 19:09:51",258,Alvitar,,,,,,,,,0,0,0,0,0,0,,Bee,0,,,,,,,,,
48,4PzQ4yGjJG,"2019-05-09 19:09:47",257,"A Fortiori",,,,,,,,,4,0,0,0,0,0,,Bee,0,,,,,,,,,
47,5m9N0onrzq,"2019-05-09 19:09:37",256,"P Branco",,,,,,,,,1,0,0,1,0,0,,Apolar,1,,,,,,,,,
46,4MXQJEdNZ6,"2019-05-09 19:09:33",255,"P Grossa",,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
45,DVWQWRRNZ4,"2019-05-09 19:09:29",254,Guarapuava,,,,,,,,,0,0,0,0,0,1,,Apolar,0,,,,,,,,,
44,ka6jMnor75,"2019-05-09 19:09:25",253,Londrina,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
43,P74QYbjBEm,"2019-05-09 19:09:21",252,Joinville,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
42,4AXQvaNLYp,"2019-05-09 19:09:17",251,Itapoa,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
41,53GN6vNzxo,"2019-05-09 19:09:13",250,Guaratuba,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
40,M03rzbr69d,"2019-05-09 19:09:04",249,Garuva,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
39,LX6QawrZk4,"2019-05-09 19:08:57",248,Caioba,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
38,0DzjGaNYp1,"2019-05-09 19:08:52",247,Camboriu,,,,,,,,,3,0,0,0,0,0,,Apolar,0,,,,,,,,,
37,kOGQ3gQlnA,"2019-05-09 19:08:48",246,Betaras,,,,,,,,,1,0,0,0,0,0,,Apolar,0,,,,,,,,,
36,JawrRJr5kq,"2019-05-09 19:08:44",245,Antonina,,,,,,,,,0,0,0,0,0,0,,Apolar,0,,,,,,,,,
35,kVXr7xNJed,"2019-05-09 19:08:39",244,"Real Estate",,,,,,,,,1,0,1,1,0,1,,Apolar,1,,,,,,,,,
34,W0VNq8rmlK,"2019-05-09 19:08:32",243,Visconde,,,,,,,,,101,0,0,1,0,12,,Apolar,1,,,,,,,,,
33,W4yQk4jgPK,"2022-04-25 16:53:50",242,"C Imbuia",marcelo.asth@apolartaruma.com.br,,"154 Rua Ronald José Carboni, , 82810-120",,,,"Mudou nome: de ""Taruma"" para ""Capão da Imbuia"" (no sistema foi dia 25/04/2022)",,0,1,0,0,0,0,,Apolar,0,4130275050,,,,,,,,
32,B8qQPZr16n,"2022-01-14 13:11:52",241,SJPinhais,,,"170 Rua Voluntários da Pátria, , 83005020",,,,,,119,0,0,5,0,2,,Apolar,21,4132833300,,,,,"<p><strong>* Registrar tudo por email</strong></p>
<p><strong>* Anotar todos os detalhes </strong></p>
<p><strong>(caso da Ref. 931.536)</strong></p>",,,
31,mloNLGrM8p,"2022-01-14 13:09:02",240,Seminario,,,"30 Rua Teixeira Soares, , 80240-440",,,,,,132,4,1,0,0,17,,Apolar,8,4132703700,,,,,"<p><strong>* Se corretora Kathia = n&atilde;o marcar para Lazaro</strong></p>",,,
30,oGWN5qNlAe,"2023-09-15 15:09:25",239,"S Quiteria",,,"1320 Rua Professor Ulisses Vieira, , 80310-120",,,,,,70,0,0,0,0,7,,Apolar,0,4130184130,,,,,"<p>ATEN&Ccedil;&Atilde;O A CONFER&Ecirc;NCIA DOS DADOS</p>","(1) Sempre consultar gerência da franquia antes de qualquer decisão. (2) Fazer WC também com angulo inclinado para baixo, mostrando mobilias e louças.",,
29,3xPjXYrKGE,"2022-01-14 13:19:12",238,"S Felicidade",,,"63 Rua Via Veneto, , 82020-470",,,,,,85,1,0,5,0,12,,Apolar,9,4133726364,,,,,,,,
28,l5nQxLQxYX,"2022-01-14 13:13:12",237,"S Candida",,,"77 Estrada de Santa Cândida, , 82630-490",,,,,,148,2,1,2,0,6,,Apolar,10,4132536999,,,,,,,,
27,m72NporwvZ,"2022-01-14 13:18:39",236,Pinhais,,,"212 Avenida Camilo di Lellis, , 83323-000",,,,,,228,2,0,9,0,0,,Apolar,30,4136613232,,,,,,,,
26,4Z9Q29N2mo,"2022-01-14 13:19:48",235,Pilarzinho,,,"2245 Avenida Desembargador Hugo Simas, , 80520-250",,,,,,65,2,0,4,0,1,,Apolar,14,4130234949,,,,,,,,
25,7oOjDdjB9A,"2020-10-28 17:40:40",234,Merces,,,"750 Avenida Manoel Ribas, , 80510-020",,,,,,103,4,1,3,0,6,,Apolar,8,4130143031,,,,,,,,
24,ObEjEONK5p,"2019-05-09 19:07:33",233,Lancamentos,,,,,,,,,0,0,0,0,0,1,,Apolar,0,,,,,,,,,
23,4YZjnDNPvl,"2021-01-13 13:21:40",232,Kennedy,,,"3933 Avenida Presidente Kennedy, , 80610-010",,,,,,157,3,0,0,0,8,,Apolar,2,4130188485,,,,,"<p><strong>* Se for da corretora Guiomar: n&atilde;o quer Lazaro</strong></p>",,,
22,PblNe6QxwL,"2020-10-28 17:35:50",231,Juveve,,,"671 Rua Alberto Bolliger, , 80030-280",,,,,,65,2,0,1,0,3,,Apolar,4,4132508444,,,,,,,,
21,pPEryWQOnV,"2020-10-28 17:35:19",230,"J Social",,,"1258 Rua Raphael Papa, , 82530-190",,,,,,115,4,1,2,0,6,,Apolar,11,4130930003,,,,,,,,
20,DkMjmwNvV6,"2020-10-28 17:33:45",229,"J Americas",,,"1023 Avenida Coronel Francisco H. dos Santos, , 81530-000",,,,,,153,3,0,0,0,14,,Apolar,9,4132672060,,,,,,,,
19,X9EjVXNo2K,"2023-01-05 15:11:32",228,"A Pena",,,"2560 Rua Const. Moro Sobrinho, Lj 02",,,,,,2,0,0,2,0,0,,Apolar,2,4133831556,,,,,,,,
18,3GDN1mNeqP,"2020-10-28 17:26:23",227,Hauer,,,"1017 Rua Waldemar Kost, , 81630-180",,,,,,94,4,0,0,0,10,,Apolar,4,4133711200,,,,,,,,
17,6b1rAKQKkA,"2020-10-28 17:25:57",226,Fazendinha,,,"224 Rua Carlos Klemtz, Lj 01, 81320-000",,,,,,75,1,0,0,0,4,,Apolar,2,4135273006,,,,,,,,
16,K68j9gN2V7,"2020-10-28 17:25:16",225,Ecoville,,,"3291 Alameda Júlia da Costa, , 80730-095",,,,,,87,2,0,1,0,6,,Apolar,6,4133366200,,,,,,,,
15,DVarwJjORP,"2020-10-28 17:20:21",224,Colombo,,,"1478 Avenida Marginal José de Anchieta, , 83408-010",,,,,,692,1,0,13,0,0,,Apolar,61,4136639090,,,,,,,,
14,L5MjKxr0kq,"2020-10-27 18:49:22",223,Champagnat,,,"1148 Alameda Presidente Taunay, , 80430-000",,,,,,97,0,0,3,0,10,,Apolar,8,4133357190,,,,,,,,
13,VX9QoerwYv,"2021-01-13 13:19:42",222,Centro,,,"441 Rua Conselheiro Laurindo, , 80060-100",,,,,,306,18,6,12,0,29,,Apolar,27,4133205858,,,,,,"Atenção com bagunça e objetos na cena",,
